name;type;x;y;vx;vy;neighbours;radius;color;oncollision
Kobol;Planet;45;310;0.3;-0.6;Unicron,Koarth;7;blue;blink
Namek;Planet;60;102;0.1;0.2;Helicon,Synnax,Xenex,Alderaan;15;orange;blink
Monea;Planet;105;290;-0.5;-0.1;Koarth,Solaria;7;grey;blink
Alderaan;Planet;110;400;-1;0.2;Unicron,Namek;7;brown;blink
Unicron;Planet;145;379;0.01;0.5;Kobol,Alderaan;7;blue;blink
Twinsum;Planet;195;480;0.2;0.1;Solaria,Trantor;7;purple;blink
Koarth;Planet;210;190;0.1;0.99;Kobol,Monea,Synnax;7;blue;blink
Helicon;Planet;219;95;0.01;0.2;Namek,Synnax;7;brown;blink
Solaria;Planet;240;322;0.3;-0.5;Monea,Twinsum,Xenex;15;orange;blink
Synnax;Planet;405;202;0.9;0.2;Namek,Koarth,Helicon,Trantor;7;pink;blink
Trantor;Planet;501;130;-0.5;-0.1;Twinsum,Synnax;7;purple;blink
Xenex;Planet;711;580;0.3;0.2;Solaria,Namek;7;blue;blink
;Asteroid;85;56;0;-1.5;;5;black;blink
;Asteroid;705;112;2;1;;5;black;bounce
;Asteroid;28;507;1;3;;5;black;disappear
;Asteroid;478;380;0;1;;5;black;bounce
;Asteroid;636;392;5;-1;;5;black;explode
;Asteroid;47;255;-2;-3;;5;black;explode
;Asteroid;320;250;-1;3;;5;black;bounce
;Asteroid;408;432;2;1;;5;black;bounce
;Asteroid;422;557;1;-1;;5;black;blink
;Asteroid;601;276;2;-2;;5;black;grow
;Asteroid;626;464;3;1;;5;black;disappear
